,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
52,Console,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
53,Console,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
54,Console,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
55,Console,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
56,Handheld,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
57,Handheld,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42
58,Console,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26
59,Console,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
60,Console,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
61,Handheld,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
62,Console,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
63,Console,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
64,Console,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
65,Console,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
66,Console,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
67,Console,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3
68,Handheld,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
69,Handheld,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
70,Console,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
71,Console,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
72,Console,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
73,Console,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
74,Handheld,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
75,Console,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
76,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11
77,Console,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
78,Console,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06
79,Console,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
80,Handheld,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
81,Handheld,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
82,Console,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
83,Console,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
84,Console,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
85,Console,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
86,Console,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
87,Console,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
88,Handheld,2014.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
89,Console,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37
90,Console,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
91,Console,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
92,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
93,Console,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27
94,Console,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
95,Console,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
96,Console,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
97,Console,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
98,Console,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
99,Console,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
100,Console,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
101,Console,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91
102,Console,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
103,Console,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
104,Console,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
105,Console,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
106,Console,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
107,Console,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73
108,Console,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
109,Console,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
110,Handheld,2005.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
111,Console,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
112,Console,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
113,Console,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
114,Console,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
115,Console,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
116,Handheld,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
117,Console,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
118,Handheld,2000.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
119,Console,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
120,Console,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
121,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28
122,Console,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
123,Handheld,1992.0,Platform,Sega,4.47,1.2,0.16,0.19,6.03
124,Console,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
125,Console,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
126,Console,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
127,Handheld,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
128,Console,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
129,Console,2014.0,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
130,Console,1988.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
131,Console,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
132,Console,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
133,Console,2007.0,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
134,Handheld,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
135,Handheld,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
136,Handheld,2001.0,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
137,Console,1999.0,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
138,Console,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43
139,Console,2014.0,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42
140,Handheld,1989.0,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34
141,Handheld,1999.0,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
142,Console,2012.0,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
143,Console,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
144,Console,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
145,Console,2009.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
146,Handheld,2007.0,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
147,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2
148,Handheld,2003.0,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
149,Console,2012.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
150,Handheld,1994.0,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
151,Console,2012.0,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
152,Handheld,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
153,Console,1995.0,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
154,Handheld,2013.0,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
155,Handheld,2008.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14
156,Console,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
157,Handheld,1992.0,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
158,XOne,2014.0,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
159,XOne,2014.0,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08
160,Handheld,2006.0,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
161,Console,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
162,Handheld,1999.0,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
163,Console,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02
164,Console,2014.0,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
165,Console,1998.0,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0
166,Console,2007.0,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0
167,Console,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98
168,Handheld,2007.0,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
169,Console,2007.0,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
170,Console,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
171,Console,1997.0,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
172,Console,1990.0,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
173,Console,2010.0,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
174,PC,2010.0,Strategy,Activision,2.56,1.68,0.0,0.59,4.83
175,Console,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83
176,Console,2014.0,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
177,Console,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
178,Console,2016.0,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
179,Console,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68
180,Console,2008.0,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
181,Console,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
182,Console,2007.0,Misc,Activision,3.06,1.12,0.0,0.44,4.62
183,Console,1991.0,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
184,Console,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
185,Console,2009.0,Sports,Sega,1.89,1.99,0.22,0.48,4.58
186,Handheld,2013.0,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
187,Console,2015.0,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
188,Console,2014.0,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
189,Console,2007.0,Misc,Activision,3.19,0.92,0.01,0.42,4.53
190,Console,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
191,Console,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5
192,Console,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
193,Console,2002.0,Action,Activision,2.71,1.51,0.03,0.23,4.48
194,Console,2015.0,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
195,Console,2014.0,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
196,Console,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
197,Console,2012.0,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
198,Console,2010.0,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
199,Console,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41
200,Console,2006.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
201,Console,2006.0,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
202,Console,1987.0,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
203,Console,2005.0,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
204,Console,2006.0,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
205,Handheld,1991.0,Platform,Sega,3.03,0.91,0.26,0.13,4.34
206,Console,2013.0,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31
207,Console,2014.0,Shooter,Activision,2.75,1.18,0.0,0.37,4.31
208,Console,2013.0,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25
209,Console,2011.0,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
210,Handheld,2001.0,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24
211,Console,2004.0,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23
212,Handheld,2006.0,Platform,Sony Computer Entertainment,2.45,1.02,0.0,0.75,4.22
213,PC,1995.0,Strategy,Activision,1.7,2.27,0.0,0.23,4.21
214,Handheld,2011.0,Action,Nintendo,2.03,1.27,0.62,0.3,4.21
215,Console,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
216,Console,2003.0,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
217,Console,2016.0,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
218,Console,2007.0,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2
219,Console,2011.0,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19
220,Console,2011.0,Sports,Electronic Arts,0.84,2.79,0.02,0.53,4.19
221,Console,1984.0,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
222,Console,2002.0,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
223,Console,2014.0,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
224,Console,1995.0,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
225,Console,2006.0,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
226,Console,2011.0,Action,Nintendo,2.14,1.2,0.37,0.4,4.1
227,Console,2007.0,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1
228,PC,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09
229,Console,2007.0,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
230,Console,2005.0,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06
231,Console,1996.0,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
232,Console,2000.0,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05
233,Console,2014.0,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03
234,Console,1997.0,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
235,Console,1984.0,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
236,Handheld,2007.0,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4.0
237,Console,2009.0,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99
238,Console,2005.0,Misc,Namco Bandai Games,2.08,1.35,0.0,0.54,3.98
239,Console,2009.0,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92
240,Console,2014.0,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92
241,Handheld,1994.0,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91
242,Console,2003.0,Sports,Activision,2.29,1.17,0.01,0.42,3.9
243,Console,2013.0,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89
244,Handheld,2014.0,Role-Playing,Nintendo,0.67,0.49,2.62,0.11,3.89
245,Console,2006.0,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.88
246,Console,2005.0,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87
247,Console,2010.0,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87
248,Console,2015.0,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85
249,Console,2004.0,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85
250,Handheld,2007.0,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84
251,Console,1995.0,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
252,Handheld,1992.0,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
253,Handheld,2009.0,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.83
254,Console,2007.0,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82
255,Handheld,2011.0,Simulation,Nintendo,1.44,1.37,0.73,0.27,3.81
256,Console,2011.0,Sports,Sega,1.14,1.91,0.27,0.46,3.78
257,Console,2008.0,Action,Activision,2.4,1.03,0.0,0.36,3.78
258,Handheld,2007.0,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77
259,Console,2013.0,Misc,Ubisoft,1.98,1.47,0.0,0.32,3.76
260,PC,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76
261,Console,2007.0,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76
262,Console,2001.0,Action,Electronic Arts,1.37,2.0,0.14,0.22,3.73
263,Console,2015.0,Role-Playing,Namco Bandai Games,0.96,2.0,0.21,0.56,3.73
264,Console,2000.0,Platform,Sony Computer Entertainment,1.93,1.58,0.0,0.19,3.71
265,Console,2004.0,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7
266,Handheld,1998.0,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7
267,Console,2013.0,Shooter,Electronic Arts,1.3,1.51,0.27,0.61,3.69
268,Handheld,2007.0,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69
269,Handheld,2009.0,Misc,Nintendo,0.0,0.0,3.67,0.0,3.67
270,Console,2002.0,Sports,Activision,2.13,1.18,0.01,0.35,3.67
271,Handheld,2005.0,Racing,Take-Two Interactive,1.65,1.22,0.0,0.79,3.66
272,Console,1998.0,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
273,Console,2002.0,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65
274,Console,2008.0,Misc,Activision,2.33,0.97,0.0,0.35,3.65
275,Console,2013.0,Racing,Sony Computer Entertainment,0.71,1.8,0.4,0.74,3.64
276,Console,2001.0,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
277,Console,1999.0,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63
278,Console,2009.0,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63
279,Console,2007.0,Sports,Konami Digital Entertainment,0.05,0.0,0.64,2.93,3.63
280,Console,2013.0,Shooter,Activision,1.78,1.42,0.05,0.38,3.63
281,Console,2016.0,Shooter,Ubisoft,1.28,1.61,0.15,0.57,3.61
282,Console,2001.0,Racing,Electronic Arts,2.02,1.17,0.0,0.42,3.61
283,Console,2001.0,Action,Nintendo,2.38,0.67,0.46,0.1,3.6
284,Console,2000.0,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
285,Console,2006.0,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54
286,Console,2002.0,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54
287,Console,2001.0,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53
288,Console,2013.0,Shooter,Electronic Arts,2.14,1.08,0.02,0.29,3.53
289,Console,2010.0,Sports,Electronic Arts,0.71,2.4,0.02,0.4,3.53
290,Console,2000.0,Action,THQ,1.96,1.33,0.0,0.23,3.52
291,Console,1999.0,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52
292,Console,2008.0,Shooter,Electronic Arts,2.66,0.5,0.05,0.3,3.52
293,Handheld,2009.0,Sports,Sega,1.22,1.66,0.27,0.38,3.52
294,Console,1996.0,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51
295,Console,2010.0,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5
296,Console,1985.0,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
297,Handheld,2006.0,Misc,Nintendo,0.59,1.83,0.73,0.35,3.5
298,XOne,2015.0,Shooter,Electronic Arts,1.94,1.22,0.02,0.31,3.49
299,Console,2010.0,Shooter,Electronic Arts,2.09,1.02,0.04,0.32,3.48
300,Handheld,2008.0,Misc,Activision,2.11,1.01,0.01,0.35,3.48
301,XOne,2014.0,Action,Ubisoft,2.26,0.89,0.0,0.3,3.46
302,Console,2012.0,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45
303,Console,2009.0,Shooter,Take-Two Interactive,2.39,0.73,0.03,0.29,3.44
304,Console,2002.0,Fighting,Namco Bandai Games,1.55,1.27,0.33,0.29,3.44
305,Console,2013.0,Shooter,Electronic Arts,1.34,1.54,0.17,0.38,3.43
306,Console,2011.0,Platform,Sony Computer Entertainment,1.82,1.07,0.06,0.47,3.42
307,Console,1998.0,Action,Take-Two Interactive,1.13,2.07,0.0,0.22,3.42
308,Console,2004.0,Action,Activision,1.75,1.2,0.02,0.43,3.41
309,Handheld,1990.0,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41
310,Console,2002.0,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4
311,Console,2000.0,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39
312,Console,2015.0,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38
313,Handheld,2009.0,Action,Nintendo,1.43,0.94,0.74,0.27,3.38
314,Console,2000.0,Action,Nintendo,1.9,0.67,0.73,0.06,3.36
315,Handheld,2008.0,Puzzle,Nintendo,0.65,1.61,0.82,0.28,3.36
316,Console,1998.0,Adventure,THQ,1.63,1.53,0.0,0.18,3.34
317,Console,2013.0,Action,Ubisoft,1.9,1.14,0.01,0.29,3.34
318,Handheld,2006.0,Misc,Nintendo,0.0,0.99,2.32,0.02,3.33
319,Console,2002.0,Shooter,Electronic Arts,1.45,1.29,0.12,0.46,3.33
320,Console,2002.0,Platform,Sony Computer Entertainment,1.44,1.01,0.57,0.3,3.33
321,Console,2012.0,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32
322,Console,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
323,Console,2003.0,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28
324,Console,2015.0,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
325,XOne,2014.0,Shooter,Activision,2.13,0.92,0.0,0.23,3.28
326,Console,2003.0,Action,Activision,1.89,1.05,0.02,0.31,3.27
327,Console,2008.0,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27
328,Handheld,2009.0,Racing,Sony Computer Entertainment,0.5,1.59,0.31,0.87,3.27
